Noise Level,Recall Accuracy,Trial Number
0.0,1.0,1.0
0.0,1.0,2.0
0.0,1.0,3.0
0.0,1.0,4.0
0.0,1.0,5.0
0.0,1.0,6.0
0.0,1.0,7.0
0.0,1.0,8.0
0.0,1.0,9.0
0.0,1.0,10.0
0.05,1.0,1.0
0.05,1.0,2.0
0.05,1.0,3.0
0.05,1.0,4.0
0.05,1.0,5.0
0.05,1.0,6.0
0.05,1.0,7.0
0.05,1.0,8.0
0.05,1.0,9.0
0.05,1.0,10.0
0.1,1.0,1.0
0.1,1.0,2.0
0.1,1.0,3.0
0.1,1.0,4.0
0.1,1.0,5.0
0.1,1.0,6.0
0.1,1.0,7.0
0.1,1.0,8.0
0.1,1.0,9.0
0.1,1.0,10.0
0.15000000000000002,1.0,1.0
0.15000000000000002,1.0,2.0
0.15000000000000002,1.0,3.0
0.15000000000000002,1.0,4.0
0.15000000000000002,1.0,5.0
0.15000000000000002,1.0,6.0
0.15000000000000002,1.0,7.0
0.15000000000000002,1.0,8.0
0.15000000000000002,1.0,9.0
0.15000000000000002,1.0,10.0
0.2,1.0,1.0
0.2,1.0,2.0
0.2,1.0,3.0
0.2,1.0,4.0
0.2,1.0,5.0
0.2,1.0,6.0
0.2,1.0,7.0
0.2,1.0,8.0
0.2,1.0,9.0
0.2,1.0,10.0
0.25,1.0,1.0
0.25,1.0,2.0
0.25,1.0,3.0
0.25,1.0,4.0
0.25,1.0,5.0
0.25,1.0,6.0
0.25,1.0,7.0
0.25,1.0,8.0
0.25,1.0,9.0
0.25,1.0,10.0
0.30000000000000004,1.0,1.0
0.30000000000000004,1.0,2.0
0.30000000000000004,1.0,3.0
0.30000000000000004,1.0,4.0
0.30000000000000004,1.0,5.0
0.30000000000000004,1.0,6.0
0.30000000000000004,1.0,7.0
0.30000000000000004,1.0,8.0
0.30000000000000004,1.0,9.0
0.30000000000000004,1.0,10.0
0.35000000000000003,1.0,1.0
0.35000000000000003,1.0,2.0
0.35000000000000003,1.0,3.0
0.35000000000000003,1.0,4.0
0.35000000000000003,1.0,5.0
0.35000000000000003,1.0,6.0
0.35000000000000003,1.0,7.0
0.35000000000000003,1.0,8.0
0.35000000000000003,1.0,9.0
0.35000000000000003,1.0,10.0
0.4,1.0,1.0
0.4,1.0,2.0
0.4,1.0,3.0
0.4,1.0,4.0
0.4,1.0,5.0
0.4,1.0,6.0
0.4,1.0,7.0
0.4,1.0,8.0
0.4,1.0,9.0
0.4,1.0,10.0
0.45,1.0,1.0
0.45,1.0,2.0
0.45,1.0,3.0
0.45,1.0,4.0
0.45,1.0,5.0
0.45,1.0,6.0
0.45,1.0,7.0
0.45,1.0,8.0
0.45,1.0,9.0
0.45,1.0,10.0
0.5,1.0,1.0
0.5,0.0,2.0
0.5,0.0,3.0
0.5,0.0,4.0
0.5,1.0,5.0
0.5,1.0,6.0
0.5,1.0,7.0
0.5,1.0,8.0
0.5,1.0,9.0
0.5,0.0,10.0
0.55,0.0,1.0
0.55,0.0,2.0
0.55,0.0,3.0
0.55,0.0,4.0
0.55,0.0,5.0
0.55,0.0,6.0
0.55,0.0,7.0
0.55,0.0,8.0
0.55,0.0,9.0
0.55,0.0,10.0
0.6000000000000001,0.0,1.0
0.6000000000000001,0.0,2.0
0.6000000000000001,0.0,3.0
0.6000000000000001,0.0,4.0
0.6000000000000001,0.0,5.0
0.6000000000000001,0.0,6.0
0.6000000000000001,0.0,7.0
0.6000000000000001,0.0,8.0
0.6000000000000001,0.0,9.0
0.6000000000000001,0.0,10.0
0.65,0.0,1.0
0.65,0.0,2.0
0.65,0.0,3.0
0.65,0.0,4.0
0.65,0.0,5.0
0.65,0.0,6.0
0.65,0.0,7.0
0.65,0.0,8.0
0.65,0.0,9.0
0.65,0.0,10.0
0.7000000000000001,0.0,1.0
0.7000000000000001,0.0,2.0
0.7000000000000001,0.0,3.0
0.7000000000000001,0.0,4.0
0.7000000000000001,0.0,5.0
0.7000000000000001,0.0,6.0
0.7000000000000001,0.0,7.0
0.7000000000000001,0.0,8.0
0.7000000000000001,0.0,9.0
0.7000000000000001,0.0,10.0
